#{"t_start": 1711315900.225238, "env_id": "LunarLander-v2"}
r,l,t
-71.442069,63,0.701245
-365.347229,160,0.867117
-229.583808,110,0.970666
-66.282349,70,1.036091
-201.303196,137,1.180532
-229.610053,107,1.278675
-267.875253,88,1.368071
-125.23472,120,1.480144
-90.930384,80,1.552216
-287.849818,84,1.64641
-131.122505,68,1.714774
-172.659296,89,1.802785
-125.835617,107,1.901238
-447.957141,96,1.995658
-89.018719,73,2.068559
-58.74826,72,2.133118
-421.113276,97,2.222698
-180.510649,107,2.329281
-79.101538,76,2.405311
-83.888982,68,2.467744
-305.109022,101,2.563405
-92.550738,74,2.652386
-139.157486,98,2.741775
-309.441858,94,2.834121
-385.511769,103,2.932058
-254.319588,91,3.015612
-9.299652,129,3.138932
-206.558781,103,3.240066
-78.106237,64,3.300236
-91.927566,102,3.393549
-134.202856,87,3.475672
-152.97887,94,3.577748
-292.117286,82,3.656308
-187.27625,106,3.756328
-129.538094,84,3.839934
-355.325283,134,3.969696
-59.300364,112,4.075323
-55.80891,67,4.137403
-152.102937,128,4.256709
-74.597814,66,4.316704
-151.242058,122,4.431136
-411.398465,163,4.608141
-43.809661,66,4.66928
-96.273619,70,4.732678
-125.922961,74,4.800565
-106.067551,91,4.885439
-82.106844,81,4.960071
-181.006449,68,5.024417
-70.295018,60,5.084753
-99.737769,136,5.216195
-219.28772,98,5.32052
-151.366276,97,5.411961
-114.795942,135,5.555516
-176.459277,91,5.64117
-153.935773,82,5.717513
-99.682364,81,5.792458
-92.31526,65,5.852111
-303.680615,87,5.934575
-293.601929,80,6.01586
-71.058621,71,6.081487
-175.685553,106,6.191041
-143.58404,67,6.257088
-272.236752,82,6.333401
-82.753308,61,6.392923
-137.458046,123,6.514613
-102.251711,61,6.572625
-360.666789,103,6.671062
-368.592614,94,6.76109
-88.097914,79,6.832638
-256.583811,101,6.92647
-141.035555,127,7.052297
-103.315291,100,7.144437
-115.22905,90,7.227336
-226.265345,109,7.332897
-109.617062,86,7.41323
-116.563938,65,7.488261
-108.998897,105,7.59365
-110.890632,58,7.648109
-103.792336,73,7.714369
-286.716534,105,7.812126
-344.558575,132,7.939903
-104.508531,96,8.032931
-199.379484,109,8.14334
-100.037597,67,8.213045
-301.935318,115,8.323565
-124.993631,70,8.387321
-136.411092,86,8.480602
3.333849,123,8.598059
-105.217738,118,8.709675
-243.955604,70,8.785074
-123.747049,94,8.876674
-115.641385,90,8.963446
-100.335877,74,9.033143
-66.728786,106,9.133989
-102.138785,131,9.256506
-217.174598,75,9.327763
-154.64803,103,9.44579
-140.13621,104,9.541637
-330.039628,79,9.61598
-24.801969,109,9.719802
-143.449125,69,9.786173
-99.209015,123,9.905786
-113.092362,126,10.028751
-396.884911,86,10.116506
-205.01876,76,10.185307
-141.503383,97,10.277551
-339.560955,98,10.726875
-223.678017,73,11.653179
-198.038671,68,12.563091
-85.144369,86,13.738145
-194.058779,123,15.339901
-178.225115,114,16.882283
-275.862711,99,18.209301
-103.710105,112,19.696368
-429.138047,116,21.259359
-297.029753,116,22.820285
-117.894622,86,23.964651
-100.711457,108,25.422289
-81.809133,69,26.345777
-19.163057,71,27.311176
-315.035336,101,28.687983
-352.303371,118,30.364551
-224.156727,74,31.337945
-115.458587,59,32.147515
-131.357081,72,33.122441
-190.486937,97,34.429947
-108.768911,127,36.141773
-166.809802,101,37.517819
-101.48827,100,38.877336
-110.426082,80,39.975961
-72.216434,72,40.97457
-232.409177,136,42.817286
-121.413053,84,43.93243
-165.350744,81,45.085149
-135.730634,91,46.287369
-114.838022,77,47.41287
-41.591299,66,48.303152
-321.667568,108,49.742126
-79.666507,62,50.641415
-109.063128,100,52.014969
-254.809218,86,53.145759
-208.153642,112,54.662183
-86.314708,72,55.715854
-158.559061,80,56.791639
-97.473497,90,58.032738
-119.487398,82,59.113388
-149.503831,114,60.73002
-110.479975,93,61.969113
-118.909531,98,63.325578
-164.684233,141,65.297393
-303.359258,122,66.945619
-270.246776,102,68.384269
-388.562884,134,70.200858
-68.618008,75,71.218936
-49.83351,109,72.680962
-127.413529,109,74.150026
-116.106999,70,75.122871
-163.192953,73,76.120086
-199.950655,109,77.584151
-267.144532,88,78.773327
-97.265374,78,79.866876
-109.371257,110,81.335191
-118.367159,113,82.904491
-86.731628,101,84.252315
-94.488818,78,85.26423
-125.067059,87,86.456108
-205.451698,100,87.799992
-67.081062,125,89.469581
-448.421318,113,91.025419
-44.661032,70,91.952795
-238.132416,95,93.265357
-223.836486,120,94.881917
-138.499791,109,96.33731
-112.471823,89,97.55569
-194.225418,93,98.842179
-143.591403,94,100.109094
-74.26964,119,101.727073
-75.893657,109,103.163872
-172.584148,81,104.255999
-128.320259,76,105.291656
-82.78586,87,106.473461
-93.783384,77,107.505228
-153.552353,91,108.763852
-49.084948,130,110.542513
-118.110006,68,111.463384
-104.961805,74,112.452231
-172.784998,118,114.083434
-207.230023,112,115.588847
-168.073015,105,116.983616
-67.348468,72,117.946515
-82.313807,90,119.16926
-188.38574,136,120.999277
22.850839,114,122.558244
-78.871485,61,123.358902
-159.584836,116,124.934045
-79.396066,123,126.614167
-106.324787,84,127.732483
-108.521207,98,129.040976
-173.515834,73,130.095374
-74.609583,64,130.982902
-65.413055,66,131.85358
-77.130428,104,133.277752
-102.597356,70,134.256011
-95.293532,101,135.607553
-46.965898,65,136.486513
