#{"t_start": 1711495472.588361, "env_id": "LunarLander-v2"}
r,l,t
-106.421001,94,0.708118
-100.803711,70,0.729471
-362.18442,100,0.753844
-135.721313,112,0.782809
-120.866437,87,0.806742
-60.063473,83,0.82743
-99.933084,81,0.84801
-307.751187,145,0.887616
-276.149274,84,0.909479
-316.343549,80,0.928883
-84.730884,58,0.942297
-205.325245,62,0.965642
-46.351027,68,0.984271
-386.719392,115,1.013555
-126.175322,91,1.035245
-105.513764,63,1.050026
-274.713135,100,1.076846
-344.823387,119,1.108282
-111.757466,74,1.125586
-65.156857,131,1.160301
-176.380854,107,1.191711
-108.727146,85,1.21605
-128.494683,62,1.230494
15.813939,86,1.252412
-99.535014,76,1.272757
-329.700091,123,1.303983
-143.773485,71,1.321134
-63.93786,118,1.351675
-172.231519,104,1.381394
-230.416016,100,1.405574
-86.888093,81,1.425573
-180.559875,118,1.455133
-211.58751,99,1.489897
-99.505136,72,1.507552
-116.223758,131,1.540906
-125.507542,78,1.560555
-325.537047,80,1.582171
-129.398078,77,1.601833
-119.859427,100,1.626641
-113.264349,76,1.644847
-101.680874,97,1.672176
-89.672167,62,1.686771
-124.938284,67,1.702808
-142.2116,126,1.741652
-94.56283,92,1.767346
-158.427751,114,1.796597
-95.83537,71,1.813583
-236.094312,96,1.837428
-146.632646,62,1.854736
-242.366013,104,1.879641
-272.980938,115,1.90961
-204.458408,118,1.939878
-113.483166,77,1.961015
-164.909793,108,1.988232
-141.548173,83,2.0111
-463.245723,115,2.041173
-62.899846,67,2.059213
-82.092748,70,2.075959
-238.101989,86,2.096562
-175.674262,82,2.116853
-476.578691,99,2.143505
-163.737882,87,2.164576
-342.465792,83,2.186139
-194.45206,82,2.206436
-107.682782,66,2.224797
-120.437127,87,2.245766
-208.334992,124,2.281749
-154.38542,66,2.297276
-83.242505,62,2.313951
-116.111016,73,2.331891
-68.458642,64,2.347154
-199.470347,94,2.370507
-167.25386,66,2.398412
-240.385798,91,2.42189
-132.281814,74,2.439919
-406.297087,84,2.460976
-179.262789,123,2.493767
-439.255423,107,2.524348
-227.419827,73,2.542241
-253.423273,116,2.571071
-380.772936,77,2.591268
10.68078,90,2.6132
-161.365238,123,2.646147
-147.515642,89,2.66775
-161.276848,99,2.694096
-115.642924,124,2.726679
-133.839989,81,2.746259
-326.921987,92,2.768528
-102.158722,99,2.798179
-55.764175,65,2.813462
-213.244244,75,2.832321
-126.842646,87,2.853802
-214.403048,109,2.888233
-243.913556,100,2.913415
-151.113234,61,2.927692
-195.803074,100,2.952915
-185.129292,88,2.982139
