#{"t_start": 1711238486.2517073, "env_id": "LunarLander-v2"}
r,l,t
-112.183823,64,1.028309
-282.538575,75,1.278201
-94.696298,91,1.617479
-237.16124,81,1.890925
-265.046131,120,2.285673
-27.541588,81,2.548929
-13.526581,105,2.911582
-151.098494,130,3.412368
-181.160594,65,3.675921
-273.397254,118,4.147075
-349.140129,97,9.098632
-200.065109,138,9.667048
-116.355835,86,9.956156
-85.034016,69,10.201117
-148.449018,95,10.569316
-65.990795,60,10.772429
-137.326489,102,11.22295
-236.070779,113,11.747924
-142.993294,96,12.108034
-108.800615,110,12.548996
-106.572671,129,13.078909
-102.145409,89,18.063717
-238.461421,98,18.459872
-119.028682,126,18.981393
-293.919716,90,19.365625
-94.080384,82,19.757913
-211.259448,109,20.261985
-118.695375,76,20.604468
-124.118503,75,20.905306
-117.290151,88,21.205565
-105.905191,97,21.534947
-118.507121,119,26.441388
-167.127463,79,26.714114
-79.358197,112,27.091542
-104.481917,98,27.423759
-106.871652,106,27.807718
-55.903466,103,28.2196
-134.085832,95,28.566464
-115.165817,94,28.91691
-112.460048,85,29.198036
-134.897859,116,29.59492
-56.175298,78,29.899239
-287.564045,120,34.682296
-276.948342,88,35.020861
-61.944781,118,35.503193
-109.222643,104,36.017778
-195.276546,148,36.702825
-76.11218,66,37.005596
-104.661648,91,37.435541
-256.807195,119,37.980192
-104.540502,68,38.229864
-115.707411,95,38.590558
-74.273775,63,38.827112
-50.541835,72,43.734305
-57.600617,89,44.040616
-49.562013,71,44.281084
-59.549248,137,44.777388
-164.091805,91,45.115957
-185.892112,88,45.435052
-97.59782,141,45.952581
-94.07858,80,46.26569
-91.019845,71,46.559532
-82.410646,78,46.904697
-68.533143,82,47.302099
-112.705703,138,52.387576
-129.917171,96,52.83945
-43.234694,95,53.250876
-72.336719,162,53.982228
-89.613533,106,54.433691
-164.726441,137,54.920174
-101.428822,113,55.324097
-91.748372,151,55.975889
-31.195666,77,60.695012
-126.234934,111,61.141458
-33.388923,88,61.570392
-69.426484,86,61.983361
5.973295,86,62.335542
-49.165312,111,62.741197
-37.695177,128,63.207423
-32.253165,103,63.588503
-74.988604,159,64.214498
-44.720201,111,64.636483
-98.83456,79,69.494675
-149.243963,128,69.993824
-78.070566,117,70.507973
-49.699124,134,71.040068
-74.035609,94,71.416608
-95.597398,118,71.867275
-86.418136,77,72.148101
-42.644062,87,72.550083
-43.782046,139,73.106279
-110.77686,167,78.1733
-32.954128,90,78.569645
-5.522613,130,79.109941
2.493867,122,79.592356
-59.760115,133,80.104647
-45.098969,93,80.453457
-52.958833,87,80.807073
-18.845114,96,81.237602
-24.288159,117,81.699878
-7.625287,136,86.555432
-9.245368,130,87.236759
-45.827141,133,87.912024
-23.534607,143,88.604663
10.189686,130,89.295736
-27.431792,110,89.931076
-35.21934,127,90.850136
-6.101128,141,91.739745
-2.541406,152,97.080616
-20.28391,190,98.568634
8.047178,154,99.563593
-28.072919,150,100.612365
-74.810672,176,101.933491
-36.989926,158,103.092278
-50.596413,156,108.221251
40.07809,131,108.92065
-30.301523,158,110.15243
22.585121,192,111.725134
26.376537,150,113.36
-58.499672,175,115.10784
-4.866879,139,120.592041
-7.886385,144,121.77165
5.974611,222,123.891732
-12.083948,251,126.884129
143.893517,1000,143.622627
3.314388,213,145.88123
7.246636,184,148.254586
30.122374,1000,165.659126
-86.431068,246,173.623661
-76.130312,278,177.680722
163.405078,1000,194.006694
2.064,258,196.912812
-10.005564,196,199.296811
79.041446,1000,217.739186
54.47375,1000,235.597471
-26.174994,243,243.495595
78.975754,1000,262.180458
68.900392,1000,280.617639
80.007086,1000,294.863972
1.849814,263,303.18541
161.749165,1000,321.122386
-12.389949,242,324.620257
118.729677,1000,344.982125
97.007928,1000,363.631247
130.51996,1000,382.924358
94.779946,1000,402.18591
-26.788755,241,405.846503
117.403828,1000,426.911654
122.260453,1000,446.531737
129.570357,1000,465.440294
149.355891,1000,485.066466
152.030296,1000,504.806167
124.363252,1000,523.208202
133.151536,1000,541.562881
135.423364,1000,560.642166
-25.568457,285,565.160949
109.297765,1000,585.085423
113.62704,1000,604.873131
141.439839,1000,624.206457
129.843022,1000,645.163295
1.397588,313,649.608079
129.150937,1000,670.171548
144.778799,1000,689.972956
111.282992,1000,710.014553
94.712966,1000,731.608897
135.015929,1000,752.099683
100.55674,1000,772.378032
154.348012,1000,792.664246
143.755367,1000,814.028458
-31.132589,318,822.842732
126.815624,1000,841.900114
27.536027,319,846.322934
131.507833,1000,865.734705
236.995522,370,871.746176
130.483304,1000,891.152749
130.066355,1000,909.389282
28.959459,239,912.827225
134.488826,1000,930.890023
167.16172,1000,949.40285
146.412969,1000,967.628774
150.815328,1000,986.510784
130.952712,1000,1005.388775
160.555404,1000,1022.873512
45.608904,323,1030.984367
238.108163,673,1041.830995
168.699418,1000,1060.319442
279.448519,867,1075.73492
209.702341,911,1091.477122
234.614335,683,1103.965547
151.167092,1000,1120.338655
265.809809,314,1123.392663
226.018201,432,1127.470407
160.884713,1000,1141.095895
105.127641,1000,1155.27591
235.363342,335,1162.901367
214.015895,370,1166.953775
290.108408,356,1170.591442
265.054865,480,1180.124667
145.177163,1000,1193.907772
240.493845,368,1197.288748
261.290557,329,1200.036186
246.100731,381,1207.756016
264.188453,375,1211.26546
246.88255,335,1214.419713
271.15975,349,1221.736182
236.970114,342,1224.932496
252.025598,344,1227.761211
271.0024,360,1235.196021
250.709942,358,1238.329032
289.124486,309,1241.186839
227.904891,392,1249.125332
286.06846,294,1251.441125
260.22235,328,1254.448287
279.157384,267,1261.406117
228.060623,360,1264.097685
218.399675,498,1272.495507
232.72986,354,1275.883783
130.200088,1000,1288.464137
214.085049,343,1291.320096
299.342,335,1298.898985
255.472354,386,1302.315222
282.256099,529,1307.173663
267.387353,354,1314.976877
290.434346,318,1317.562236
251.82699,303,1320.138649
264.241227,360,1327.787106
268.742893,355,1330.510632
161.170472,1000,1343.280284
31.285828,245,1345.213732
288.864826,418,1352.388753
270.183227,316,1354.967863
58.371117,235,1356.794402
237.46086,350,1363.594097
268.031316,288,1365.668436
270.92561,304,1368.08648
234.615222,310,1370.399196
281.633781,316,1377.087085
300.991199,364,1379.404212
218.272589,369,1381.819794
245.799509,324,1388.452778
280.167643,328,1390.554188
308.055159,363,1393.100121
253.015568,290,1399.811022
237.630855,318,1402.030299
264.192496,343,1404.434397
245.246317,343,1411.21293
274.122512,319,1413.347694
252.097832,300,1415.545141
304.752815,267,1422.28009
294.486268,286,1424.388371
305.749107,265,1426.094539
262.577002,317,1428.329275
263.383867,297,1434.444826
293.61729,331,1436.593867
293.103169,285,1438.467049
293.392463,241,1444.353053
270.039411,342,1446.487581
278.962479,300,1448.42145
255.089452,380,1455.578087
280.358474,302,1457.617307
253.43785,292,1459.562809
249.028692,308,1461.687265
265.774708,314,1467.905059
242.707766,280,1469.70162
277.065155,310,1471.663419
261.643577,293,1478.448833
293.717831,313,1480.485862
306.550793,255,1482.232876
47.796317,225,1483.738765
35.349257,253,1489.727677
250.526192,286,1491.748713
223.733253,279,1493.530354
228.119453,284,1495.4933
232.000551,303,1501.877424
277.217392,260,1503.494291
295.179849,286,1505.361833
290.537786,345,1511.675331
303.667716,295,1513.589038
309.487425,312,1515.644738
276.8971,301,1522.029012
245.7117,322,1524.186098
293.590747,305,1526.27079
255.796828,303,1528.569728
271.966454,274,1534.805351
278.315971,288,1537.045341
272.548028,295,1539.135136
249.427573,304,1545.266719
279.660745,278,1546.913315
