Wall time,Step,Value
1711495473.63994,1393,-177.56581115722656
1711495473.842716,2157,-168.13719177246094
1711495473.94152,2545,-166.8656768798828
1711495474.1503246,3328,-163.75440979003906
1711495474.331562,4013,-160.03909301757812
1711495474.4275796,4386,-158.8883514404297
1711495474.529916,4785,-163.32843017578125
1711495474.6312776,5168,-167.43331909179688
1711495474.7067807,5473,-165.5839080810547
1711495474.7963445,5824,-173.6291961669922
1711495474.8871298,6167,-172.10455322265625
1711495474.9604387,6460,-169.03321838378906
1711495475.0510926,6775,-172.58697509765625
1711495475.1610093,7194,-177.69964599609375
1711495475.257608,7573,-177.32077026367188
1711495475.4436982,8295,-175.3330078125
1711495475.6365132,9007,-176.18971252441406
1711495475.7445748,9404,-177.45863342285156
1711495476.2292137,11228,-178.98777770996094
1711495476.3118486,11554,-177.68621826171875
1711495476.3884203,11862,-178.79173278808594
1711495476.471466,12180,-178.710205078125
1711495476.5486996,12492,-177.50059509277344
1711495476.7117105,13131,-178.919189453125
1711495476.9768379,14149,-178.57728576660156
1711495477.0715697,14512,-174.76580810546875
1711495477.2970343,15337,-182.71011352539062
1711495477.3980153,15694,-182.20916748046875
1711495477.5000591,16079,-178.056396484375
1711495477.5941288,16448,-177.21556091308594
1711495477.7644916,17123,-178.74435424804688
1711495477.938198,17802,-177.7857208251953
1711495478.0348635,18171,-176.20144653320312
1711495478.325297,19266,-175.88719177246094
1711495478.4076507,19590,-178.53778076171875
1711495478.4930542,19926,-181.20297241210938
1711495478.599161,20329,-185.1692657470703
1711495478.7182806,20776,-187.11798095703125
1711495479.0523462,22042,-198.81600952148438
1711495479.1446369,22407,-196.3656768798828
1711495479.309717,23027,-189.2327880859375
1711495479.4275527,23448,-193.99159240722656
1711495479.503591,23744,-195.28424072265625
1711495479.6094239,24120,-192.10267639160156
1711495479.7027564,24487,-194.95733642578125
1711495479.7996976,24863,-193.4703369140625
1711495479.9140897,25281,-189.45286560058594
1711495480.1326501,26093,-190.26260375976562
1711495480.2153544,26424,-192.24398803710938
1711495480.2805636,26691,-189.8679962158203
1711495480.37834,27059,-188.7520294189453
1711495480.6122181,27909,-201.32803344726562
1711495480.8064694,28662,-195.7519989013672
1711495480.9123857,29050,-196.3771514892578
1711495481.1023622,29767,-197.96592712402344
1711495481.1960568,30118,-199.48330688476562
1711495481.3734288,30824,-193.98583984375
1711495481.4714944,31194,-190.8524932861328
1711495481.5598671,31544,-194.94740295410156
1711495481.6682198,31956,-201.1763458251953
1711495481.765354,32321,-203.3540802001953
1711495481.8566933,32658,-200.65347290039062
1711495482.0285945,33296,-198.73214721679688
1711495482.1393385,33715,-193.48667907714844
1711495482.2475674,34110,-198.50601196289062
1711495482.348289,34497,-201.97596740722656
1711495482.8464694,36366,-206.3746795654297
1711495482.9393365,36716,-200.77224731445312
1711495483.1248393,37426,-194.2941131591797
1711495483.2907012,38071,-192.22409057617188
1711495483.3957584,38477,-189.77420043945312
1711495483.5088468,38911,-185.6186981201172
1711495483.8094587,40020,-187.38104248046875
1711495483.9176884,40440,-185.72048950195312
1711495484.2319024,41624,-181.9611358642578
1711495484.5219402,42740,-184.47476196289062
1711495484.7361746,43530,-186.30484008789062
1711495484.8248615,43873,-187.6482696533203
1711495484.9033508,44173,-183.440673828125
1711495485.2596195,45512,-173.2976837158203
1711495485.34914,45858,-171.2952880859375
1711495485.4439824,46205,-174.03045654296875
1711495485.5432403,46580,-173.8644256591797
1711495485.7076175,47210,-175.56838989257812
1711495485.8276017,47659,-175.9077606201172
1711495486.133582,48825,-178.3869171142578
1711495486.4300916,49927,-173.8953094482422
1711495486.6754892,50269,-177.56443786621094
1711495487.2651517,51012,-178.58270263671875
1711495487.9360247,51847,-175.45152282714844
1711495488.3692794,52377,-171.83204650878906
1711495488.7030706,52801,-173.9786376953125
1711495489.0339253,53234,-179.2511749267578
1711495489.3193502,53616,-186.10264587402344
1711495489.6263304,54006,-195.7342987060547
1711495490.389035,54932,-201.19345092773438
1711495490.758025,55367,-203.2924346923828
1711495491.1987681,55909,-206.1233367919922
1711495491.5373447,56319,-207.280029296875
1711495492.2685235,57201,-205.36334228515625
1711495492.6024349,57616,-206.60263061523438
1711495492.8898988,57974,-204.9961395263672
1711495493.5254881,58778,-201.630615234375
1711495493.8146076,59158,-198.07635498046875
1711495494.217909,59655,-195.91586303710938
1711495495.0100322,60598,-193.42294311523438
1711495495.3417592,61002,-186.93765258789062
1711495496.050903,61881,-185.17581176757812
1711495496.519626,62431,-181.74607849121094
1711495497.191635,63272,-180.18096923828125
1711495497.5453534,63702,-172.50204467773438
1711495497.8913336,64098,-165.11268615722656
1711495498.6416714,65005,-153.0005645751953
1711495499.039177,65479,-151.5289306640625
1711495500.1992362,66857,-149.51687622070312
1711495500.6392233,67376,-145.5347137451172
1711495500.9735224,67779,-140.350830078125
1711495501.420328,68289,-140.1781463623047
1711495502.2739768,69300,-137.74671936035156
1711495502.6576815,69762,-136.523193359375
1711495503.4030523,70655,-141.30136108398438
1711495504.157915,71560,-140.93812561035156
1711495504.5753727,72052,-139.96450805664062
1711495504.893454,72438,-142.0880126953125
1711495505.2417753,72855,-139.9801025390625
1711495505.9245353,73656,-141.98008728027344
1711495506.2289917,74031,-136.47158813476562
1711495507.461639,75478,-133.042724609375
1711495508.8723006,77140,-122.20423126220703
1711495510.390766,79003,-116.80044555664062
1711495511.499709,80347,-118.84910583496094
1711495511.830447,80765,-116.86550903320312
1711495512.2109835,81211,-113.71401977539062
1711495512.5668762,81641,-112.61898803710938
1711495513.997829,83347,-106.60613250732422
1711495514.402699,83836,-105.13563537597656
1711495514.8691916,84389,-104.1023941040039
1711495515.3323264,84926,-105.06682586669922
1711495516.4956105,86361,-108.44219207763672
1711495516.818907,86774,-108.66498565673828
1711495517.1872542,87239,-109.78363037109375
1711495517.5952764,87755,-108.79528045654297
1711495517.9941905,88260,-109.17162322998047
1711495518.3013356,88641,-109.78108978271484
1711495519.1859543,89671,-108.72639465332031
1711495519.6132047,90168,-106.87813568115234
1711495519.944471,90566,-108.81354522705078
1711495520.6595743,91392,-100.22186279296875
1711495521.0660646,91863,-99.07807159423828
1711495521.4447532,92294,-100.40554809570312
1711495521.8329878,92749,-100.07139587402344
1711495522.2257245,93226,-101.7584228515625
1711495522.5876682,93668,-103.98815155029297
1711495523.661507,94936,-102.29313659667969
1711495524.1365032,95475,-102.88114166259766
1711495524.8834233,96366,-101.24080657958984
1711495526.489661,98222,-98.44972229003906
1711495526.9158955,98713,-97.23658752441406
1711495527.7359383,99646,-97.53840637207031
1711495528.1982548,100176,-99.14075469970703
1711495528.550971,100586,-99.02983093261719
1711495528.9795196,101079,-99.67366027832031
1711495529.4412572,101611,-102.11164855957031
1711495529.870168,102100,-101.2408218383789
1711495531.4408135,103889,-101.06568908691406
1711495532.832109,105472,-98.01680755615234
1711495533.2696927,105979,-95.03150177001953
1711495533.7847672,106546,-93.81229400634766
1711495534.1553214,106983,-95.27886962890625
1711495535.0147953,107958,-93.15019226074219
1711495536.0457394,109091,-90.49835205078125
1711495537.034428,110212,-90.10822296142578
1711495539.340274,112080,-88.5181655883789
1711495540.1794937,113020,-85.51229858398438
1711495540.7668862,113668,-86.16500854492188
1711495541.235571,114181,-82.96221160888672
1711495541.7154486,114725,-84.47844696044922
1711495542.1751666,115243,-82.87773132324219
1711495543.152409,116351,-81.44116973876953
1711495543.6617947,116926,-83.22794342041016
1711495544.7010188,118077,-83.13644409179688
1711495545.8031268,119302,-82.35624694824219
1711495547.0809505,120693,-82.03504180908203
1711495549.6067753,123507,-81.39622497558594
1711495550.549351,124550,-79.35309600830078
1711495551.0372396,125090,-77.661865234375
1711495552.2452977,126392,-75.05198669433594
1711495552.6001313,126803,-75.94171905517578
1711495552.9832947,127228,-75.16522979736328
1711495553.3935015,127687,-73.78584289550781
1711495554.034878,128362,-72.76536560058594
1711495554.624324,128996,-69.62178039550781
1711495555.2335875,129638,-70.64808654785156
1711495555.6774266,130132,-69.81096649169922
1711495556.4227707,130923,-69.310546875
1711495556.9074259,131456,-67.72251892089844
1711495559.323128,134014,-66.54228210449219
1711495559.8045416,134549,-66.89460754394531
1711495561.0781167,135853,-66.03778076171875
1711495563.0702329,137944,-65.86772918701172
1711495565.616786,140651,-63.156917572021484
1711495566.1025612,141176,-62.949886322021484
1711495566.7428744,141838,-62.99517059326172
1711495567.6933272,142789,-60.55134582519531
1711495568.945323,144089,-59.9566535949707
1711495569.6689074,144836,-60.55412673950195
1711495570.2875695,145490,-61.153411865234375
1711495570.8193088,146053,-60.18632125854492
1711495571.621412,146867,-60.70998001098633
1711495572.079281,147361,-59.55974197387695
1711495573.9806154,149310,-56.34507369995117
1711495576.2941282,150945,-53.7510986328125
1711495577.8228073,152424,-50.691864013671875
1711495579.407313,154014,-47.88992691040039
1711495581.016623,155622,-48.57575607299805
1711495585.8384638,159051,-42.45957565307617
1711495590.8349838,162299,-42.910221099853516
1711495591.8221757,163213,-41.709251403808594
1711495592.377064,163807,-43.3503532409668
1711495593.1795604,164641,-44.334632873535156
1711495598.3485317,167703,-44.495365142822266
1711495599.2723563,168595,-42.28224182128906
1711495602.0621839,170554,-44.47999954223633
1711495604.0131192,171992,-42.22434997558594
1711495607.178262,174039,-39.39112854003906
1711495611.3171494,177280,-34.271644592285156
1711495615.4983425,180475,-32.94106674194336
1711495617.533562,182056,-30.951385498046875
1711495626.696287,187149,-28.82229995727539
1711495636.5203235,192806,-30.0350341796875
1711495641.0040436,195817,-29.31306266784668
1711495648.9928257,199817,-26.950077056884766
1711495656.288541,203502,-25.227054595947266
1711495660.1671727,206013,-23.939441680908203
1711495667.6625135,210013,-25.895774841308594
1711495673.6894233,213180,-21.811172485351562
1711495681.1534917,217180,-21.309038162231445
1711495688.6324852,221180,-20.149354934692383
1711495694.3282228,224293,-18.549924850463867
1711495702.6944025,228293,-14.876768112182617
1711495717.5912874,236293,-12.998212814331055
1711495725.3895552,240293,-14.986368179321289
1711495740.9151802,248185,-12.283994674682617
1711495756.6644287,256185,-14.559822082519531
1711495764.3255064,260185,-16.60838508605957
1711495771.474826,264070,-14.210755348205566
1711495778.9230795,268070,-14.245356559753418
1711495786.2866342,271992,-13.26028823852539
1711495802.3278892,279633,-14.15364933013916
1711495809.8896487,283633,-13.98680305480957
1711495823.9309561,290839,-8.271705627441406
1711495831.331958,294839,-8.84087085723877
1711495836.5828836,297900,-0.2013475000858307
1711495844.4669816,301900,-2.3355884552001953
1711495851.024049,305450,1.5595406293869019
1711495860.9732351,311505,10.122084617614746
1711495866.3732812,314899,14.352578163146973
1711495873.5153954,318899,11.286725997924805
1711495878.9754672,322316,14.635868072509766
1711495910.6248,340245,31.31972312927246
1711495918.063663,344238,34.404029846191406
1711495930.1973846,350931,43.48720169067383
1711495936.0923278,354194,45.80709457397461
1711495943.2084162,358108,48.70595169067383
1711495954.7798755,364711,55.57636260986328
1711495961.6568139,368525,57.1402702331543
1711495976.8526802,376110,61.85763168334961
1711495991.5716143,383840,61.536991119384766
1711496027.5357928,403118,43.87443542480469
1711496035.1036985,407118,37.87267303466797
1711496057.6048694,419040,39.42412185668945
1711496065.787708,423040,39.01252746582031
1711496073.7859304,427040,34.738067626953125
1711496081.269261,431040,30.062469482421875
1711496088.05216,435040,24.80974006652832
1711496094.1663334,438576,25.774131774902344
1711496109.7505496,446576,18.958646774291992
1711496126.0972683,454576,11.228391647338867
1711496140.651583,462576,3.567185401916504
1711496155.4267895,470576,-4.735304355621338
1711496179.7236712,482576,-10.178362846374512
1711496188.6787298,486576,-10.333306312561035
1711496211.742826,498576,-12.069525718688965
1711496217.271038,501995,-14.347539901733398
1711496224.7969685,505995,-13.207676887512207
1711496230.629762,509294,-15.70134162902832
1711496244.3011572,516439,-16.436662673950195
1711496251.4153829,520115,-17.943424224853516
1711496272.1051135,530432,-19.180757522583008
1711496280.2904928,534432,-21.845375061035156
1711496295.116108,542432,-21.834501266479492
1711496317.129586,554432,-20.28704833984375
1711496324.7652712,558432,-19.483457565307617
1711496340.8906763,566432,-18.32370376586914
1711496348.1586409,570432,-17.414329528808594
1711496356.0818028,574432,-17.17672348022461
1711496364.1795197,578432,-16.44791603088379
1711496372.0803316,582432,-16.02135467529297
1711496387.0287426,590432,-13.611954689025879
1711496394.515538,594432,-12.214251518249512
1711496401.6211169,598432,-10.135698318481445
1711496409.9094155,602432,-9.957986831665039
1711496419.1008773,606432,-9.549985885620117
1711496427.0847769,610432,-9.628182411193848
